Reference number in Dr. Palme list,number,RefID,Author list,Journal,Research area,Title,City,Country,Population,Class,Animal Group,Latin Species,Species,"number 
 (of fecal samples)",RC%,immunoassay,Parallelism reporting,Parallism reporting comments,Graph,Graph type,Graph alignment,Graph comments,Stats,Stats type,Stats reported,Other stats info to extract?,Do they test Dilution linearity?,"If yes, what is reported?",Trouble-shooting,Solutions,Stats group,Stats group KF,Stats quality,Stats notes,Interpretation,
1905,81,https://doi.org/10.1071/WR21003,"Troup, G., Heinsohn, R., King, L.E. and Edwards, K.L.",Wildlife Research,Ecology & Conservation,"Exploring seasonal variation in the faecal glucocorticoid concentrations of African elephants (Loxodonta africana) living in a drought-prone, anthropogenic landscape. ",Canberra/Nairobi/Oxford/Front Royal/Chester,Australia/USA/Kenjy/UK,Wildlife,Mammalia,Proboscidea,Loxodonta africana,African elephant,98,-,EIA,Yes,"They report that validation included parallelism and matrix interference. They report the parallism through a linear regression equation, R-squared, F, p",N,,,,Y,Linear regression,"Equation of the line, R-Squared, F and p (p<0.001)",,N,,,,Regression analysis,Correlation/regression,Weak,"The immunoassay was validated biochemically for measuring GCs in faecal extracts through parallelism (y = 1.214x + 1.921, R2 = 0.983, F1,7 = 406.405, P < 0.001) ",,
1906,82,https://doi.org/10.1093/cz/zoab034,"Uchida, K., Ng, R., Vydro, S.A., Smith, J.E. and Blumstein, D.T., ",Current zoology,Ecology & Conservation,The benefits of being dominant: Health correlates of male social rank and age in a marmot.,Los Angelos/Oakland/Crested Butte,USA,Wildlife,Mammalia,Rodentia,Marmota flaviventris,yellow-bellied marmot,213,-,RIA,Prev,They used RIA kit for FCM and mentioned that it was validated in Smith et al. 2012 (https://doi.org/10.1016/j.ygcen.2012.06.015) . In Smith et al. 2012 they mentioned that they analytically validated the assay (including parallelism) but no data /results /graphs are included . ,,,,,,,,,,,,,No stats,,,,,
1911,83,https://doi.org/10.1371/journal.pbio.3001564,"Von Kortzfleisch, V.T., Ambrée, O., Karp, N.A., Meyer, N., Novak, J., Palme, R., Rosso, M., Touma, C., Würbel, H., Kaiser, S. and Sachser, N., ",PLoS biology,Neuroscience & Biomedical Research,Do multiple experimenters improve the reproducibility of animal studies? ,Münster/Osnabrück/Cambridge/Bern/Vienna,EU/CH/UK,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,289,-,EIA,Prev,"Methods description about FCM is included in the Supplementary material, they cite Touma et al . 2003, 2004 for validation",,,,,,,,,,,,,No stats,,,,,
1821,85,https://doi.org/10.1016/j.yhbeh.2022.105155,"Hart, DW., Janse van Vuuren, AK., Erasmus, A., Süess, T., Hagenah, N., Ganswindt, A., Bennett, NC. ",Hormones and Behavior,Reproduction & Physiology,"The endocrine control of reproductive suppression in an aseasonally breeding social subterranean rodent, the Mahali mole-rat (Cryptomys hottentotus mahali).",Pretoria,South AFrica,Wildlife,Mammalia,Rodentia,Cryptomys hottentotus mahali,Mahali mole-rat,252,-,EIA,No,"sensitivity and inter- intra- CV are reported, and ACTH challenge is performed, but no pareallesim is reported. However, for plasma testosterone, progesterone, and prolaction analyses, parallelism is reported",,,,,,,,,,,,,No stats,,,,,
1822,86,https://doi.org/10.21897/rmvz.2688,"Hernandez-Lozano, A., Lopez-deBuen, L., Ahuja-Aguirre, C., Paredes-Ramos, P., Juanz-Aguirre, DG. ",Journal MVZ Cordoba,Ecology & Conservation,Nocturnal birds of prey in captivity: a study in the owl Strix virgate (Strigidae).,Veracruz/Xalapa,Mexico,Wildlife,Aves,Strigiformes,Strix virgate ,mottled owl,267,-,EIA,No,No validation is mentioned. Only intra-assay CV and sensitivity are reproted. ,,,,,,,,,,,,,No stats,,,,,
1823,87,https://doi.org/10.1099/mic.0.001226,"Hickmott, AJ., Boose, KJ., Wakefield, ML., Brand, CM., Snodgrass, JJ., Ting, N., White, FJ. ",Microbiology,Ecology & Conservation,A comparison of faecal glucocorticoid metabolite concentration and gut microbiota diversity in bonobos (Pan paniscus). ,Eugene/San Antonio/Highland Heights/San Francisco,USA,Wildlife,Mammalia,Primates,Pan paniscus,bonobo,218,added standard,EIA,Prev,"EIA validated for the species in previous studies: We used the Arbour Assay’s DetectX Cortisol Enzyme Immunoassay Kit (Arbour Assay’s DetectX cat. no. K003-H5W), as it is designed to be used on dried faecal samples and was previously validated for bonobos [68, 69].",,,,,,,,,,,,,No stats,,,,,
1824,88,https://doi.org/10.1038/s41598-022-12846-6,"Hohlbaum, K., Frahm, S., Rex, A., Palme, R., Thöne-Reineke, C., Ullmann, K.",Scientific Reports,Behavioral & Welfare Science,Effects of separated pair housing of female C57BL/6JRj mice on well-being. ,Berlin/Vienna,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse ,120,-,EIA,Prev,"""Fecal corticosterone metabolites (FCMs) were extracted and analyzed as previously described30–32."" two previous studies from Palme (on fecal corticosterone in mice) are cited:
30. Touma, C., Palme, R. & Sachser, N. Analyzing corticosterone metabolites in fecal samples of mice: a noninvasive technique to monitor stress hormones. Horm. Behav. 45, 10–22 (2004).
31. Touma, C., Sachser, N., Möstl, E. & Palme, R. Effects of sex and time of day on metabolism and excretion of corticosterone in urine and feces of mice. Gen. Comp. Endocrinol. 130, 267–278 (2003)",,,,,,,,,,,,,No stats,,,,,
1825,89,https://doi.org/10.18311/jer/2022/29810,"Iyer, P. Kumar, V., Reddy, M., Umapathy, G. ",Journal of Endocrinology and Reproduction,Ecology & Conservation,"Impacts of livestock grazing on fecal glucocorticoid levels and gastrointestinal parasite prevalence in blue sheep in Spiti Valley, Western Himalayas.",Karnataka/Hyderabad,India,Wildlife,Mammalia,Artiodactyla,Pseudois nayaur,blue sheep (bharal) ,156,-,EIA,Statement,"In methods "" Parallelism was performed by demonstrating parallel displacement curves between the serial dilution of pooled fecal extracts and the respective standards23."" the reference relates to another paper of the author on elephants.  no additional results or graphs are reported. ",,,,,,,,,,,,,No stats,,,,,
1826,90,https://doi.org/10.1016/j.bbr.2022.113978,"Jacob, J., Watanabe, S., Richardson, J., Gonzales, N., Ploppert, E., Lahvis, G., Shiels, A., Wenger, S., Saverino, K., Bhalerao, J., Crockett, B., Burns, E., Harding, O., Fischer-Stenger, K., Lambert, K.",Behavioural Brain Research,Neuroscience & Biomedical Research,Divergent neural and endocrine responses in wild-caught and laboratory-bred Rattus norvegicus. ,Richmond/Cambridge/Fort Collins,USA,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus (f. domesticus),laboratory and wild rat,25,-,EIA,No,No validation is mentioned. ,,,,,,,,,,,,,No stats,,,,,
1827,91,https://doi.org/10.1016/j.nbd.2022.105717,"Johnson, AC., Uhlig, F., Einwag, Z., Cataldo, N., Erdos, B. ",Neurobiology of Disease,Neuroscience & Biomedical Research,The neuroendocrine stress response impairs hippocampal vascular function and memory in male and female rats. ,Burlington,USA,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus (f. domesticus),laboratory rat,28,-,EIA,No,"No validation is mentioned, only ""Fecal corticosterone levels were determined using a commercially available DetectX Corticosterone ELISA kit (Arbor Assays, Ann Arbor, MI, USA) following the manufacturer’s protocol.""",,,,,,,,,,,,,No stats,,,,,
1828,92,https://doi.org/10.1016/j.beproc.2022.104642,"Jost, T., Nemeth, M., Millesi, E., Siutz, C. ",Behavioural Processes,Neuroscience & Biomedical Research,Effects of dietary polyunsaturated fatty acids on corticosterone concentrations and spatial learning in rats.,Vienna,EU,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,28,-,EIA,Prev,"""FCM concentrations were analyzed by enzyme immunoassay using a validated antibody against 5α-pregnane-3β,11β,21-triol-20-one (Lepschy et al., 2007)"" the study referenced is also on rats: Lepschy, M., Touma, C., Hruby, R., Palme, R., 2007. Non-invasive measurement of adrenocortical activity in male and female rats. Lab. Anim. 41, 372–387. https://doi.org/10.1258/00236770778128273",,,,,,,,,,,,,No stats,,,,,
1829,93,https://doi.org/10.1016/j.ygcen.2022.114052,"Kamgang, VM., Bennett, NC., van der Goot, AC., Majelantle, TL., Ganswindt, A. ",General and Comparative Endocrinology,Reproduction & Physiology,Patterns of faecal glucocorticoid metabolite levels in captive roan antelope (Hippotragus equinus) in relation to reproductive status and season. ,Pretoria/Vaalwater ,South Africa,Wildlife,Mammalia,Artiodactyla,Hippotragus equinus,roan antelope,889,SerDil,EIA,Statement,"In the methods section: ""Serial dilutions of faecal extracts gave displacement curves that were parallel to the respective standard curve (relative variation (%) of the slope of respective trend lines < 5%).""",,,,,,,,,,,,,No stats,,,,,
1830,94,https://doi.org/10.1111/jne.13179,"Kent, M., Kovalev, D., Hart, B., Leserve, D., Handford,D., Vavra, D., Lambert, K. ",Journal of Neuroendocrinology,Neuroscience & Biomedical Research,The emotional impact of disrupted environmental contexts: Enrichment loss and coping profiles influence stress response recovery in Long-Evans rats. ,Lexington/Richmond,USA,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,248,-,EIA,No,"Cross-reactivity, sensitivity and inter- and intra-assay CV are reported, but parallelism is not mentioned. ",,,,,,,,,,,,,No stats,,,,,
1832,95,https://doi.org/10.3390/ani12162141,"Kolbe, T., Lassnig, C., Poelzl, A., Palme, R., Auer, KE., Rülicke, T. ",Animals,Behavioral & Welfare Science,"Effect of different ambient temperatures on reproductive outcome and wellbeing of lactating mothers of two mouse strains. 
",Vienna,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse ,1620,-,EIA,Prev,"""...an aliquot was analysed in a well-established and validated 5α-pregnane-3β,11β,21-triol-20-one enzyme immunoassay (EIA) [48,49]."" - References: 
48. Touma, C.; Sachser, N.; Mostl, E.; Palme, R. Effects of sex and time of day on metabolism and excretion of corticosterone in urine and faeces of mice. Gen. Comp. Endocrinol. 2003, 130, 267–278.
49. Touma, C.; Palme, R.; Sachser, N. Analyzing corticosterone metabolites in fecal samples of mice: A noninvasive technique to monitor stress hormones. Horm. Behav. 2004, 45, 10–22.",,,,,,,,,,,,,No stats,,,,,
1833,96,https://doi.org/10.1016/j.ygcen.2022.114099,"Kothmann, KH., Jons, A., Wilhelmi, B., Kasozi, N., Graham, L., Gent, R., Atkin, SL., Swartx, SL., Newell-Fugate, AE.",General and Comparative Endocrinology,Reproduction & Physiology,"Non-invasive assessment of fecal glucocorticoid, progesterone, and androgen metabolites and microbiome in free-ranging southern white rhinoceros (Ceratotherium simum simum) in South Africa.",College Station/Grahamstown/Paterson/Stellenbosch,USA/South Africa,Wildlife,Mammalia,Perissodactyla,Ceratotherium simum simum,Southern white rhinoceros,14,-,EIA vs UPC-MS/MS,Statement,"In methods: ""Each assay was biochemically validated for use with these samples by calculating parallelism of a dilution curve of a pooled sample to a standards curve for each assay""",,,,,,,,,,,,,No stats,,,,,
1834,97,https://doi.org/10.1016/j.anireprosci.2022.107070,"Kozlowski, CP., Bauman, KL., Clawitter, HL., Hall, R., Poelker, C., Their, T., Fischer, M., Powell, DM. ",Animal Reproduction Science,Reproduction & Physiology,Noninvasive monitoring of steroid hormone production and activity of zoo-housed banteng (Bos javanicus). ,Saint Louis/Lexington,USA,Wildlife,Mammalia,Artiodactyla,Bos javanicus,banteng ,2770,SerDil/added standard,RIA,Yes,"FGM quantified with RIA. Parallelism is reported in the methods: ""Fecal extracts were tested for linearity by diluting five samples that contained high concentrations of hormone by 1/2, 1/4, and 1/8 with extraction buffer. Serial dilutions measured an average of 91.4 ± 2.3% of expected concentrations for progesterone, 93.8 ± 3.1% for testosterone, and 101.2 ± 2.3% for corticosterone, and all were parallel to the standard curve (test of equal slopes, P > 0.10).""",N,,,,Y,Test of equal slopes,p value,p > 0.05 = slopes are not significantly different,Y,mean ± error % of expected values,,,Slopes comparison,Equality of slopes & linearity (vague),Weak,"""Serial dilutions measured an average of 91.4 ± 2.3% of expected concentrations for progesterone, 93.8 ± 3.1% for testosterone, and 101.2 ± 2.3% for corticosterone, and all were parallel to the standard curve (test of equal slopes, P > 0.10). ",,
1835,98,https://doi.org/10.30802/AALAS-JAALAS-21-000129,"Kress, APA., Zhang, Y., Kaiser-Vry, AR., Sauer, MB. ",Journal of the American Association for Laboratory Animal Science,Behavioral & Welfare Science,A comparison of blood collection techniques in mice and their effects on welfare.,Ames,USA,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,15,-,EIA,No,"No validation is mentioned. Only ""Fecal samples....were processed as recommended by Enzo Life Sciences (Farmingdale, NY).""",,,,,,,,,,,,,No stats,,,,,
1837,99,https://doi.org/10.1002/ajp.23426,"L'Allier, S., Schwegel, MA. Filazzola, A., Mastromonaco, G., Chapman, CA., Schoof, VAM. ",American Journal of Primatology,Ecology & Conservation,"How individual, social, and ecological conditions influence dispersal decisions in male vervet monkeys. ",Toronto/Nanaimo/Pietermaritzburg/Xi'an,Can/USA/South Africa/China,Wildlife,Mammalia,Primates,Chlorocebus pygerythrus,vervet monkey,1119,-,EIA,Prev,"A previous study from the same lab on this species is cited in the methods: ""parallelism, inter‐assay, and intra‐assay coefficients of variation validate the respective enzyme immunoassays (Greenberg et al., 2022)"" - reference: Greenberg, D., Snyder, K., Filazzola, A., Mastromonaco, G., &Schoof, V. A. M. (2022). Hormonal correlates of male dominancerank, age, and genital colouration in vervet monkey (Chlorocebuspygerythrus). General and Comparative Endocrinology, 316. https://doi.org/10.1016/j.ygcen.2021.113948",,,,,,,,,,,,,No stats,,,,,
1838,100,https://doi.org/10.1016/j.yhbeh.2022.105237,"LaBarge LR. Allan, ATL., Berman, CM., Hill, RA., Margulis, SW.",Hormones and Behavior,Ecology & Conservation,"Cortisol metabolites vary with environmental conditions, predation risk, and human shields in a wild primate, Cercopithecus albogularis. ",Amherst/Louis Trichardt/Durham/Thohoyandou/Buffalo,USA/South Africa/UK,Wildlife,Mammalia,Primates,Cercopithecus albogularis,samango monkey,190,SerDil/added standard,EIA,Yes,"Cites previous studies that had already validated the EIA  for the species and also does parallelism and S&R again: This assay has been previously validated for use with non-human primates (Brand et al., 2016), including Old World monkeys (Chen et al., 2017) to successfully track changes in fecal cortisol. To validate this assay, we conducted a parallelism of slopes test and a spike and recovery test. Slopes of standards and diluted samples were similar (r2 = 0.98)",N,,,,Y,R-squared,R-Squared value,,N,,,,Other,Equality of slopes,Weak,"To validate this assay, we conducted a parallelism of slopes test. Slopes of standards and diluted samples were similar (r2 = 0.98)",,
1840,101,https://doi.org/10.1152/ajpendo.00233.2021,"Lansdell, TA., Dorrance, AM.",American Journal of Physiology-Endocrinology and Metabolism,Neuroscience & Biomedical Research,Chronic cerebral hypoperfusion in male rats results in sustained HPA activation and hyperinsulinemia. ,East Lansing,USA,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,16,-,EIA,No,No validation is mentioned. ,,,,,,,,,,,,,No stats,,,,,
1844,102,https://doi.org/10.1073/pnas.2113518119,"Li, HT. Donegan, DC., Peleg-Raibstein, D., Burdako, D. ",PNAS (Proceedings of the National Academy of Sciences),Neuroscience & Biomedical Research,Hypothalamic deep brain stimulation as a strategy to manage anxiety disorders. ,Taoyuan/Schwerzenbach/Zürich,Taiwan/CH,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,31,?,EIA,No,No validation is mentioned. ,,,,,,,,,,,,,No stats,,,,,
1846,103,https://doi.org/10.3389/fnins.2022.853527,"Lindhardt, TB. Gutiérrez-Jiménez, E., Liang, Z., Hansen, B.",Frontiers in Neuroscience,Neuroscience & Biomedical Research,Male and female C57BL/6 mice respond differently to awake magnetic resonance imaging habituation.,Aarhus/Changai,EU/China,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,54,-,CIA,No,No validation is mentioned. ,,,,,,,,,,,,,No stats,,,,,
1847,104,https://doi.org/10.1038/s41598-022-06060-7,"Lipowska, MM., Sadowska, ET., Palme, R., Koteja, P.",Scientific Reports,Neuroscience & Biomedical Research,Evolution of an increased performance under acute challenge does not exacerbate vulnerability to chronic stress. ,Krakow/Vienna,EU,Wildlife,Mammalia,Rodentia,Myodes glareolus,bank vole,186,SerDil,RIA??,Prev,"""For a more detailed description of the used methods and the assay (e.g. antibodies and inter- and intra-assay variance), see70. The method was validated and proven suitable for bank voles 69. "" Rerference: Sipari, S., Ylönen, H. & Palme, R. Excretion and measurement of corticosterone and testosterone metabolites in bank voles (Myodes glareolus). Gen. Comp. Endocrinol. 243, 39–50 (2017).",,,,,,,,,,,,,No stats,,,,,
1848,105,https://doi.org/10.1002/wlb3.01020,"Liu, DQ., Li, ZY., Hou, ZJ., Bao, H., Luan, X., Zhang, P., Liang, X., Gong, S., Tian, YM., Zhang, D., She, W., Yang, FF., Chen, SY., Nathan, JR., Jiang, GS.",Wildlife Biology,Ecology & Conservation,"Ecological relationships among habitat type, food nutrients, parasites and hormones in wild boar Sus scrofa during winter. ",Harbin,China,Wildlife,Mammalia,Artiodactyla,Sus scrofa ,wild boar,123,?,RIA,No,"No info on the methodology or analysis of samples, only ""We sent fecal samplesto Beijing Kemeixinyun Biotechnology Co. Ltd. to measurethe fecal T3, COR and P concentrations using methods described in Wasser et al. (2010)"" 
Reference : Wasser, S.-K. et al. 2010. Non-invasive measurement of thyroidhormone in feces of a diverse array of avian and mammalianspecies. – Gen. Comp. Endocr. 168: 1–7.",,,,,,,,,,,,,No stats,,,,,
1849,106,https://doi.org/10.3389/fnbeh.2022.908366,"Mallien, AS. Pfeiffer, N., Brandwein, C., Inta, D., Sprengel, R., Palme, R., Talbot, SR., Gass, P. ",Frontiers in Behavioral Neuroscience,Neuroscience & Biomedical Research,"Comparative severity assessment of genetic, stress-based and pharmacological mouse models of depression.",Heidelberg/Vienna/Hannover,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,250,-,EIA,Prev,"""Briefly, an extract of dried and homogenized feces was produced with 80% methanol, and an aliquot was analyzed in a wellestablished and validated 5α-pregnane-3β,11β,21-triol-20-one enzyme immunoassay (EIA) (Touma et al., 2003, 2004; Palme, 2019; Sensini et al., 2020).""",,,,,,,,,,,,,No stats,,,,,
1850,107,https://doi.org/10.3389/fnbeh.2022.924603,"Mallien, AS., Becker, L. Pfeiffer, N., Terraneo, F., Palme, R., Begni, V., Riva, MA., Leo, D., Potschka, H., Fumagalli, F., Homberg, J., Gass, P. ",Frontiers in Behavioral Neuroscience,Neuroscience & Biomedical Research,Dopamine transporter knockout rats show impaired wellbeing in a multimodal severity assessment approach. ,Heidelberg/Milano/Nijmegen/Vienna/Walloon/Munich,EU,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,56,-,EIA,Prev,"""... supernatant for analysis using the 5α-pregnane-3β,11β,21-triol-20-one enzyme immunoassay established by Lepschy et al. (2007)."" It doesn't specifically say that the EIA was previously validated for the species, but the paper cited is pm feces and rats: Lepschy, M., Touma, C., Hruby, R., and Palme, R. (2007). Non-invasive measurement of adrenocortical activity in male and female rats. Lab. Anim. 41, 372–387",,,,,,,,,,,,,No stats,,,,,
1851,108,https://doi.org/10.1016/j.applanim.2022.105746,"Manning, P., Hauff, L., Padfield, C., Olivier, L., Ganswindt, A., Young, D.",Applied Animal Behaviour Science,Behavioral & Welfare Science,Can stress and anxiety be assessed in African elephants (Loxodonta africana) using self-directed behaviour? ,Harkerville/Exeter/Parktown/Lusaka/Pretoria,South Africa/UK/Zambia,Wildlife,Mammalia,Proboscidea,Loxodonta africana,African elephant,115,-,EIA,Statement," Serial dilutions of faecal extracts gave displacement curves that were parallel to therespective standard curves, with relative variation of the slope of the trend lines < 6%. ",,,,,,,,,,,,,No stats,,,,,
1852,109,https://doi.org/10.3390/ani12213014,"Marliani, G. Vannucchi, I., Kiumurgis, I., Accorsi, PA.",Animals,Behavioral & Welfare Science,Limitations of spatial judgment bias test application in horses (Equus ferus caballus). ,Ozzano dell'Emilia,EU,Domestic Animals,Mammalia,Perissodactyla,Equus ferus caballus,horse,98,-,RIA,No,Only sensitivity and CV inter and intra are reported in the methods. ,,,,,,,,,,,,,No stats,,,,,
1853,110,https://doi.org/10.1016/j.jveb.2022.11.002,"Marliani, G., Balboni, A., Tiberi, C., Malavasi, R., Gardini, A., Accorsi, PA. ",Journal of Veterinary Behavior,Behavioral & Welfare Science,Is the judgment bias test a good tool to assess the quality of horse management? ,Ozzano dell'Emilia/Bolognia,EU,Domestic Animals,Mammalia,Perissodactyla,Equus ferus caballus,horse,86,-,RIA,No,Only sensitivity and CV inter and intra are reported in the methods. ,,,,,,,,,,,,,No stats,,,,,
1854,111,https://doi.org/10.3390/ani12070897,"Martinez, L. Silvan, G., Caceres, S., Caperos, JM., Fernandez-Moran, J., Casares, M., Crespo, B., de Andres, PJ., Illera, JC. ",Animals,Behavioral & Welfare Science,Preliminary findings on how different management systems and social interactions influence fecal glucocorticoid metabolites in white rhinoceros (Ceratotherium simum). ,Madrid/Valencia,EU,Wildlife,Mammalia,Perissodactyla,Ceratotherium simum,white rhinoceros,658,-,EIA,Statement,"""The linearity of the glucocorticoids in the serial dilutions of female and male rhino pools against the standard curve shows optimal linearity and parallelism between dilutions 1:10 and 1:100.""",,,,,,,,,,,,,No stats,,,,,
1856,112,https://doi.org/10.2460/ajvr.22.01.0001,"McCready, JE. Gozzard, H.	Tisotti, T., Beaufrère, HH.","
American Journal of Veterinary Research",Veterinary & Clinical Sciences,"Effect of pneumoperitoneum on gastrointestinal motility, pain behaviors, and stress biomarkers in guinea pigs (Cavia porcellus).",Guelph/Davis,Can/USA,Domestic Animals,Mammalia,Rodentia,Cavia aperea f. porcellus,guinea pig,70,-,EIA,No,No validation is mentioned. ,,,,,,,,,,,,,No stats,,,,,
1904,113,https://doi.org/10.4404/hystrix-00493-2021,"Tranquillo, C., Villa, F., Wauters, L.A., Dantzer, B., Palme, R., Preatoni, D.G., Martinoli, A. and Santicchia, F.",Hystrix Ital. J. Mammal.,Ecology & Conservation,Physiological stress and spatio-temporal fluctuations of food abundance and population density in Eurasian red squirrels.,Varese/Ann Arbor/Vienna/Milano,EU/USA,Wildlife,Mammalia,Rodentia,Sciurus vulgaris,Eurasian red squirrel,244,-,EIA,Prev,EIA previously validated for this species in Dantzer et al. 2016- https://doi.org/10.1093/jmammal/gyw095,,,,,,,,,,,,,No stats,,,,,
1903,114,https://doi.org/10.1186/s12917-022-03201-y,"Szeligowska, N., Cholewińska, P., Smoliński, J., Wojnarowski, K., Pokorny, P., Czyż, K., & Pogoda-Sewerniak, K. ",BMC veterinary research,Reproduction & Physiology,Glutathione S-transferase (GST) and cortisol levels vs. microbiology of the digestive system of sheep during lambing.,Wroclaw,EU,Domestic Animals,Mammalia,Artiodactyla,Ovis ammon f. aries,sheep,56,-,EIA,No,No validation is mentioned,,,,,,,,,,,,,No stats,,,,,
1902,115,https://doi.org/10.1016/j.bbr.2022.113929,"Stieger, B., Palme, R., Kaiser, S., Sachser, N. and Richter, S.H., ",Behavioural Brain Research,Behavioral & Welfare Science,When left is right: The effects of paw preference training on behaviour in mice,Münster/Vienna,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,204,-,EIA,Prev,"EIA validated previously, in Touma et al 2003, 2004 ( https://doi.org/10.1016/j.yhbeh.2003.07.002 and  https://doi.org/10.1016/S0016-6480(02)00620-2",,,,,,,,,,,,,No stats,,,,,
1857,117,https://doi.org/10.1016/j.scitotenv.2021.149919,"Megia-Palma, R. Barja, I., Barrientos, R. ",Science of The Total Environment,Ecology & Conservation,Fecal glucocorticoid metabolites and ectoparasites as biomarkers of heat stress close to roads in a Mediterranean lizard. ,Madrid/Porto,EU,Wildlife,Reptilia,Squamata,Psammodromus algirus,Algerian sand racer,231,-,EIA,No,"Recovery and CV inter and intra are mentioned in the methods, but not parallelism.",,,,,,,,,,,,,No stats,,,,,
1858,118,https://doi.org/10.3390/vetsci9080389,"Meineri, G., Martello, E., Atuahene, D., Miretti, S., Stefanon, B., Sandri, M., Biasato, I., Corvaglia, MR., Ferrocino, I., Cocolin, LC. ",Veterinary Sciences,Veterinary & Clinical Sciences,"Effects of Saccharomyces boulardii supplementation on nutritional status, fecal parameters, microbiota, and mycobiota in breeding adult dogs. ",Grugliasco/Nottingham/Udine,EU/UK,Domestic Animals,Mammalia,Carnivora,Canis lupus f. familiaris,domestic dog,175,?,EIA,Statement,"Description of the methods for measuring cortisol in supplementary mat: ""Parallel displacement curves were obtained for each species by comparing serial dilutions of pooled fecal extracts and the cortisol standard preparation.""",,,,,,,,,,,,,No stats,,,,,
1860,120,https://doi.org/10.3389/fnbeh.2022.1062864,"Müller, K. Lengheimer, T., Kral-Pointner, JB., Wojta, J., Yeghiazaryan, L., Krall, C., Palme, R., Kleindorfer, S., Plasenzotti, R., Pollak, DD., Tillmann, KE.",Frontiers in Behavioral Neuroscience,Behavioral & Welfare Science,Exposure to soiled bedding reduces abnormal repetitive behaviors in mice. ,Vienna/Himberg,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,215,-,EIA,Prev,"Methods for analysis of fecal samples are explained in supplementary mat. No mention of validation, but authors cite a previous paper for the EIA used in mice: ""FCMs were measured with a 5α-pregnane-3β, 11β, 21-triol-20-one enzyme immunoassay (EIA) (Touma et al., 2003)."" Touma, C., Palme, R., and Sachser, N. (2004). Analyzing corticosterone metabolites in fecal samples of mice: A noninvasive technique to monitor stress hormones. Hormones Behav. 45, 10–22.",,,,,,,,,,,,,No stats,,,,,
1898,121,https://doi.org/10.1002/ece3.8927,"Shang, G., Du, S., Yang, Y., Wu, Y., Cao, Y., & Bian, J.",Ecology and Evolution,Ecology & Conservation,Is negative density‐dependent reproduction regulated by density‐induced stress in root voles? Two field experiments.,"Xining,/Xinxiang/Zhengzhou/Hangzhou",China,Wildlife,Mammalia,Rodentia,Microtus oeconomus,root vole,X,-,FIA (fluoresence),Prev,the authors cite a paper from Yang et al. 2018 (https://doi.org/10.1111/1365-2435.13129) that previously validated the methods for FCM in the species. That paper however report in turn another preivous study for validation. All these papers used a flourescence assay. ,,,,,,,,,,,,,No stats,,,,,
1897,122,https://doi.org/10.1016/j.ygcen.2022.113990,"Seltmann, M. W., Jackson, J., Lynch, E., Brown, J. L., Htut, W., Lahdenperä, M., & Lummaa, V.",General and Comparative Endocrinology,Ecology & Conservation, Sex-specific links between the social landscape and faecal glucocorticoid metabolites in semi-captive Asian elephants ,Turku/Odense/Oxford/Asheboro/Front Roayal/Yangon,EU/UK/Myanmar/USA,Wildlife,Mammalia,Proboscidea,Elephas maximus,Asian elephant,135,-,EIA,Prev,The indicated the assay was previously validated by Watson et al 2013 (https://doi.org/10.1016/j.ygcen.2013.02.001) - I cant access this paper at this moment to check,,,,,,,,,,,,,No stats,,,,,
1896,123,https://doi.org/10.1016/j.beproc.2022.104662,"Schork, I. G., Manzo, I. A., De Oliveira, M. R. B., Costa, F. V., Palme, R., Young, R. J., & De Azevedo, C. S. ","Behavioural processes,",Behavioral & Welfare Science, How environmental conditions affect sleep? An investigation in domestic dogs (Canis lupus familiaris) ,Sao Paulo/Vienna,Brazil/EU,Domestic Animals,Mammalia,Carnivora,Canis lupus f. familiaris,domestic dog,260,-,EIA,Prev,"Assay previously validated in dogs (Schatz & Palme, 2001 https://doi.org/10.1023/A:1010626608498- I cant access this paper at this moment to check",,,,,,,,,,,,,No stats,,,,,
